CCAA,Fecha,OCUPADAS_COVID19
ARAGÓN,2020-12-21,369
ARAGÓN,2020-12-22,359
ARAGÓN,2020-12-23,321
ARAGÓN,2020-12-24,320
ARAGÓN,2020-12-25,326
ARAGÓN,2020-12-26,327
ARAGÓN,2020-12-27,350
ARAGÓN,2020-12-28,353
ARAGÓN,2020-12-29,335
ARAGÓN,2020-12-30,312
ARAGÓN,2020-12-31,312
ARAGÓN,2021-01-01,344
ARAGÓN,2021-01-02,342
ARAGÓN,2021-01-03,388
ARAGÓN,2021-01-04,441
ARAGÓN,2021-01-05,400
ARAGÓN,2021-01-06,419
ARAGÓN,2021-01-07,445
ARAGÓN,2021-01-08,419
ARAGÓN,2021-01-09,422
ARAGÓN,2021-01-10,469
ARAGÓN,2021-01-11,478
ARAGÓN,2021-01-12,468
ARAGÓN,2021-01-13,498
ARAGÓN,2021-01-14,519
ARAGÓN,2021-01-15,531
ARAGÓN,2021-01-16,548
ARAGÓN,2021-01-17,592
ARAGÓN,2021-01-18,628
ARAGÓN,2021-01-19,641
ARAGÓN,2021-01-20,647
ARAGÓN,2021-01-21,677
ARAGÓN,2021-01-22,700
ARAGÓN,2021-01-23,703
ARAGÓN,2021-01-24,784
ARAGÓN,2021-01-25,774
ARAGÓN,2021-01-26,767
ARAGÓN,2021-01-27,748
ARAGÓN,2021-01-28,736
ARAGÓN,2021-01-29,753
ARAGÓN,2021-01-30,759
ARAGÓN,2021-01-31,770
ARAGÓN,2021-02-01,789
ARAGÓN,2021-02-02,759
ARAGÓN,2021-02-03,745
ARAGÓN,2021-02-04,736
ARAGÓN,2021-02-05,693
ARAGÓN,2021-02-06,711
ARAGÓN,2021-02-07,758
ARAGÓN,2021-02-08,728
ARAGÓN,2021-02-09,741
ARAGÓN,2021-02-10,704
ARAGÓN,2021-02-11,685
ARAGÓN,2021-02-12,652
ARAGÓN,2021-02-13,652
ARAGÓN,2021-02-14,670
ARAGÓN,2021-02-15,624
ARAGÓN,2021-02-16,570
ARAGÓN,2021-02-17,530
ARAGÓN,2021-02-18,503
ARAGÓN,2021-02-19,457
ARAGÓN,2021-02-20,459
ARAGÓN,2021-02-21,475
ARAGÓN,2021-02-22,454
ARAGÓN,2021-02-23,422
ARAGÓN,2021-02-24,402
ARAGÓN,2021-02-25,381
ARAGÓN,2021-02-26,356
ARAGÓN,2021-02-27,357
ARAGÓN,2021-02-28,372
ARAGÓN,2021-03-01,367
ARAGÓN,2021-03-02,339
ARAGÓN,2021-03-03,323
ARAGÓN,2021-03-04,313
ARAGÓN,2021-03-05,323
ARAGÓN,2021-03-06,323
ARAGÓN,2021-03-07,328
ARAGÓN,2021-03-08,310
ARAGÓN,2021-03-09,300
ARAGÓN,2021-03-10,286
ARAGÓN,2021-03-11,286
ARAGÓN,2021-03-12,263
ARAGÓN,2021-03-13,263
ARAGÓN,2021-03-14,284
ARAGÓN,2021-03-15,279
ARAGÓN,2021-03-16,255
ARAGÓN,2021-03-17,251
ARAGÓN,2021-03-18,255
ARAGÓN,2021-03-19,243
ARAGÓN,2021-03-20,243
ARAGÓN,2021-03-21,254
ARAGÓN,2021-03-22,270
ARAGÓN,2021-03-23,276
ARAGÓN,2021-03-24,269
ARAGÓN,2021-03-25,271
ARAGÓN,2021-03-26,244
ARAGÓN,2021-03-27,244
ARAGÓN,2021-03-28,263
ARAGÓN,2021-03-29,268
ARAGÓN,2021-03-30,282
ARAGÓN,2021-03-31,286
ARAGÓN,2021-04-01,292
ARAGÓN,2021-04-02,294
ARAGÓN,2021-04-03,294
ARAGÓN,2021-04-04,325
ARAGÓN,2021-04-05,308
ARAGÓN,2021-04-06,298
ARAGÓN,2021-04-07,307
ARAGÓN,2021-04-08,300
ARAGÓN,2021-04-09,283
ARAGÓN,2021-04-10,283
ARAGÓN,2021-04-11,319
ARAGÓN,2021-04-12,334
ARAGÓN,2021-04-13,339
ARAGÓN,2021-04-14,353
ARAGÓN,2021-04-15,338
ARAGÓN,2021-04-16,343
ARAGÓN,2021-04-17,341
ARAGÓN,2021-04-18,391
ARAGÓN,2021-04-19,379
ARAGÓN,2021-04-20,367
ARAGÓN,2021-04-21,384
ARAGÓN,2021-04-22,370
ARAGÓN,2021-04-23,378
ARAGÓN,2021-04-24,377
ARAGÓN,2021-04-25,399
ARAGÓN,2021-04-26,392
ARAGÓN,2021-04-27,376
ARAGÓN,2021-04-28,365
ARAGÓN,2021-04-29,368
ARAGÓN,2021-04-30,359
ARAGÓN,2021-05-01,356
ARAGÓN,2021-05-02,388
ARAGÓN,2021-05-03,373
ARAGÓN,2021-05-04,368
ARAGÓN,2021-05-05,382
ARAGÓN,2021-05-06,379
ARAGÓN,2021-05-07,358
ARAGÓN,2021-05-08,358
ARAGÓN,2021-05-09,383
ASTURIAS,2020-08-19,22
ASTURIAS,2020-08-20,21
ASTURIAS,2020-08-21,16
ASTURIAS,2020-08-22,16
ASTURIAS,2020-08-23,16
ASTURIAS,2020-08-24,19
ASTURIAS,2020-08-25,23
ASTURIAS,2020-08-26,23
ASTURIAS,2020-08-27,21
ASTURIAS,2020-08-28,33
ASTURIAS,2020-08-29,33
ASTURIAS,2020-08-30,146
