Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;MURCIA, REGIÓN DE;10-14;93.183
Ambos sexos;MURCIA, REGIÓN DE;15-19;88.234
Ambos sexos;MURCIA, REGIÓN DE;20-24;85.517
Ambos sexos;MURCIA, REGIÓN DE;25-29;87.213
Ambos sexos;MURCIA, REGIÓN DE;30-34;93.529
Ambos sexos;MURCIA, REGIÓN DE;35-39;109.096
Ambos sexos;MURCIA, REGIÓN DE;40-44;130.445
Ambos sexos;MURCIA, REGIÓN DE;45-49;125.050
Ambos sexos;MURCIA, REGIÓN DE;50-54;116.252
Ambos sexos;MURCIA, REGIÓN DE;55-59;102.056
Ambos sexos;MURCIA, REGIÓN DE;60-64;85.727
Ambos sexos;MURCIA, REGIÓN DE;65-69;67.441
Ambos sexos;MURCIA, REGIÓN DE;70-74;58.110
Ambos sexos;MURCIA, REGIÓN DE;75-79;44.765
Ambos sexos;MURCIA, REGIÓN DE;80-84;35.124
Ambos sexos;MURCIA, REGIÓN DE;85-89;24.256
Ambos sexos;MURCIA, REGIÓN DE;90-94;10.132
Ambos sexos;MURCIA, REGIÓN DE;95-99;2.180
Ambos sexos;MURCIA, REGIÓN DE;100 y más;255
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;Total;661.023
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;0-4;28.333
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;5-9;34.617
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;10-14;36.688
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;15-19;35.405
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;20-24;35.064
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;25-29;33.838
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;30-34;35.692
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;35-39;42.861
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;40-44;53.055
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;45-49;54.265
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;50-54;51.071
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;55-59;47.018
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;60-64;41.188
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;65-69;34.391
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;70-74;31.115
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;75-79;25.406
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;80-84;17.622
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;85-89;14.263
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;90-94;6.985
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;95-99;1.893
Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;100 y más;253
Ambos sexos;PAÍS VASCO;Total;2.212.561
Ambos sexos;PAÍS VASCO;0-4;82.437
Ambos sexos;PAÍS VASCO;5-9;102.470
Ambos sexos;PAÍS VASCO;10-14;109.431
Ambos sexos;PAÍS VASCO;15-19;105.604
Ambos sexos;PAÍS VASCO;20-24;101.425
Ambos sexos;PAÍS VASCO;25-29;101.909
Ambos sexos;PAÍS VASCO;30-34;112.707
Ambos sexos;PAÍS VASCO;35-39;137.746
Ambos sexos;PAÍS VASCO;40-44;175.143
Ambos sexos;PAÍS VASCO;45-49;182.874
Ambos sexos;PAÍS VASCO;50-54;172.799
Ambos sexos;PAÍS VASCO;55-59;168.120
Ambos sexos;PAÍS VASCO;60-64;154.891
Ambos sexos;PAÍS VASCO;65-69;130.056
Ambos sexos;PAÍS VASCO;70-74;119.851
Ambos sexos;PAÍS VASCO;75-79;95.991
Ambos sexos;PAÍS VASCO;80-84;69.295
Ambos sexos;PAÍS VASCO;85-89;56.619
Ambos sexos;PAÍS VASCO;90-94;25.856
Ambos sexos;PAÍS VASCO;95-99;6.551
Ambos sexos;PAÍS VASCO;100 y más;786
Ambos sexos;Araba/Álava;Total;333.521
Ambos sexos;Araba/Álava;0-4;13.930
Ambos sexos;Araba/Álava;5-9;17.099
Ambos sexos;Araba/Álava;10-14;17.180
Ambos sexos;Araba/Álava;15-19;15.629
Ambos sexos;Araba/Álava;20-24;14.853
Ambos sexos;Araba/Álava;25-29;15.046
Ambos sexos;Araba/Álava;30-34;17.471
Ambos sexos;Araba/Álava;35-39;22.257
Ambos sexos;Araba/Álava;40-44;27.829
Ambos sexos;Araba/Álava;45-49;27.992
Ambos sexos;Araba/Álava;50-54;26.051
Ambos sexos;Araba/Álava;55-59;24.616
Ambos sexos;Araba/Álava;60-64;22.039
Ambos sexos;Araba/Álava;65-69;18.910
Ambos sexos;Araba/Álava;70-74;17.263
Ambos sexos;Araba/Álava;75-79;13.853
Ambos sexos;Araba/Álava;80-84;9.619
Ambos sexos;Araba/Álava;85-89;7.383
Ambos sexos;Araba/Álava;90-94;3.464
Ambos sexos;Araba/Álava;95-99;922
Ambos sexos;Araba/Álava;100 y más;115
Ambos sexos;Bizkaia;Total;1.153.362
Ambos sexos;Bizkaia;0-4;40.818
Ambos sexos;Bizkaia;5-9;51.027
Ambos sexos;Bizkaia;10-14;54.248
Ambos sexos;Bizkaia;15-19;53.496
Ambos sexos;Bizkaia;20-24;51.229
Ambos sexos;Bizkaia;25-29;52.680
Ambos sexos;Bizkaia;30-34;58.728
Ambos sexos;Bizkaia;35-39;71.873
Ambos sexos;Bizkaia;40-44;91.207
Ambos sexos;Bizkaia;45-49;95.247
Ambos sexos;Bizkaia;50-54;90.924
Ambos sexos;Bizkaia;55-59;89.862
Ambos sexos;Bizkaia;60-64;83.548
Ambos sexos;Bizkaia;65-69;68.845
Ambos sexos;Bizkaia;70-74;62.637
Ambos sexos;Bizkaia;75-79;50.384
Ambos sexos;Bizkaia;80-84;37.158
Ambos sexos;Bizkaia;85-89;31.233
Ambos sexos;Bizkaia;90-94;14.210
Ambos sexos;Bizkaia;95-99;3.597
Ambos sexos;Bizkaia;100 y más;411
Ambos sexos;Gipuzkoa;Total;725.678
Ambos sexos;Gipuzkoa;0-4;27.689
Ambos sexos;Gipuzkoa;5-9;34.344
Ambos sexos;Gipuzkoa;10-14;38.003
Ambos sexos;Gipuzkoa;15-19;36.479
Ambos sexos;Gipuzkoa;20-24;35.343
Ambos sexos;Gipuzkoa;25-29;34.183
Ambos sexos;Gipuzkoa;30-34;36.508
Ambos sexos;Gipuzkoa;35-39;43.616
Ambos sexos;Gipuzkoa;40-44;56.107
Ambos sexos;Gipuzkoa;45-49;59.635
Ambos sexos;Gipuzkoa;50-54;55.824
Ambos sexos;Gipuzkoa;55-59;53.642
Ambos sexos;Gipuzkoa;60-64;49.304
Ambos sexos;Gipuzkoa;65-69;42.301
Ambos sexos;Gipuzkoa;70-74;39.951
Ambos sexos;Gipuzkoa;75-79;31.754
Ambos sexos;Gipuzkoa;80-84;22.518
Ambos sexos;Gipuzkoa;85-89;18.003
Ambos sexos;Gipuzkoa;90-94;8.182
Ambos sexos;Gipuzkoa;95-99;2.032
Ambos sexos;Gipuzkoa;100 y más;260
Ambos sexos;RIOJA, LA;Total;319.224
Ambos sexos;RIOJA, LA;0-4;12.777
Ambos sexos;RIOJA, LA;5-9;15.425
Ambos sexos;RIOJA, LA;10-14;16.799
Ambos sexos;RIOJA, LA;15-19;15.943
Ambos sexos;RIOJA, LA;20-24;15.325
Ambos sexos;RIOJA, LA;25-29;15.096
Ambos sexos;RIOJA, LA;30-34;17.184
Ambos sexos;RIOJA, LA;35-39;20.805
Ambos sexos;RIOJA, LA;40-44;26.427
Ambos sexos;RIOJA, LA;45-49;26.337
Ambos sexos;RIOJA, LA;50-54;24.626
Ambos sexos;RIOJA, LA;55-59;23.307
Ambos sexos;RIOJA, LA;60-64;21.361
Ambos sexos;RIOJA, LA;65-69;17.370
Ambos sexos;RIOJA, LA;70-74;15.431
Ambos sexos;RIOJA, LA;75-79;12.780
Ambos sexos;RIOJA, LA;80-84;9.203
Ambos sexos;RIOJA, LA;85-89;7.926
Ambos sexos;RIOJA, LA;90-94;3.890
Ambos sexos;RIOJA, LA;95-99;1.082
Ambos sexos;RIOJA, LA;100 y más;130
Ambos sexos;Ceuta;Total;83.517
Ambos sexos;Ceuta;0-4;4.343
Ambos sexos;Ceuta;5-9;5.635
Ambos sexos;Ceuta;10-14;6.144
Ambos sexos;Ceuta;15-19;5.644
Ambos sexos;Ceuta;20-24;5.438
Ambos sexos;Ceuta;25-29;5.466
Ambos sexos;Ceuta;30-34;5.577
Ambos sexos;Ceuta;35-39;5.980
Ambos sexos;Ceuta;40-44;6.363
Ambos sexos;Ceuta;45-49;6.220
Ambos sexos;Ceuta;50-54;5.830
Ambos sexos;Ceuta;55-59;5.701
Ambos sexos;Ceuta;60-64;4.864
Ambos sexos;Ceuta;65-69;3.367
Ambos sexos;Ceuta;70-74;2.411
Ambos sexos;Ceuta;75-79;1.896
Ambos sexos;Ceuta;80-84;1.376
Ambos sexos;Ceuta;85-89;826
Ambos sexos;Ceuta;90-94;342
Ambos sexos;Ceuta;95-99;73
Ambos sexos;Ceuta;100 y más;21
Ambos sexos;Melilla;Total;86.199
Ambos sexos;Melilla;0-4;5.859
Ambos sexos;Melilla;5-9;6.920
Ambos sexos;Melilla;10-14;6.428
Ambos sexos;Melilla;15-19;5.897
Ambos sexos;Melilla;20-24;6.025
Ambos sexos;Melilla;25-29;5.931
Ambos sexos;Melilla;30-34;5.641
Ambos sexos;Melilla;35-39;6.067
Ambos sexos;Melilla;40-44;6.302
Ambos sexos;Melilla;45-49;5.715
Ambos sexos;Melilla;50-54;5.744
Ambos sexos;Melilla;55-59;5.404
Ambos sexos;Melilla;60-64;4.949
Ambos sexos;Melilla;65-69;3.230
Ambos sexos;Melilla;70-74;2.088
Ambos sexos;Melilla;75-79;1.657
Ambos sexos;Melilla;80-84;1.206
Ambos sexos;Melilla;85-89;707
Ambos sexos;Melilla;90-94;336
Ambos sexos;Melilla;95-99;73
Ambos sexos;Melilla;100 y más;20
Hombres;TOTAL ESPAÑA;Total;23.203.891
Hombres;TOTAL ESPAÑA;0-4;966.049
Hombres;TOTAL ESPAÑA;5-9;1.169.503
Hombres;TOTAL ESPAÑA;10-14;1.298.902
Hombres;TOTAL ESPAÑA;15-19;1.244.218
Hombres;TOTAL ESPAÑA;20-24;1.221.159
Hombres;TOTAL ESPAÑA;25-29;1.291.559
Hombres;TOTAL ESPAÑA;30-34;1.395.776
Hombres;TOTAL ESPAÑA;35-39;1.625.829
Hombres;TOTAL ESPAÑA;40-44;1.981.528
Hombres;TOTAL ESPAÑA;45-49;1.993.767
Hombres;TOTAL ESPAÑA;50-54;1.845.926
Hombres;TOTAL ESPAÑA;55-59;1.681.958
Hombres;TOTAL ESPAÑA;60-64;1.456.156
Hombres;TOTAL ESPAÑA;65-69;1.180.090
Hombres;TOTAL ESPAÑA;70-74;1.015.357
Hombres;TOTAL ESPAÑA;75-79;782.157
Hombres;TOTAL ESPAÑA;80-84;525.242
Hombres;TOTAL ESPAÑA;85-89;360.517
Hombres;TOTAL ESPAÑA;90-94;136.521
Hombres;TOTAL ESPAÑA;95-99;27.640
Hombres;TOTAL ESPAÑA;100 y más;4.037
Hombres;ANDALUCÍA;Total;4.169.947
Hombres;ANDALUCÍA;0-4;183.187
Hombres;ANDALUCÍA;5-9;221.449
Hombres;ANDALUCÍA;10-14;252.390
Hombres;ANDALUCÍA;15-19;238.966
Hombres;ANDALUCÍA;20-24;231.198
Hombres;ANDALUCÍA;25-29;243.499
Hombres;ANDALUCÍA;30-34;259.437
Hombres;ANDALUCÍA;35-39;297.502
Hombres;ANDALUCÍA;40-44;351.550
Hombres;ANDALUCÍA;45-49;346.145
Hombres;ANDALUCÍA;50-54;330.399
Hombres;ANDALUCÍA;55-59;303.036
Hombres;ANDALUCÍA;60-64;257.625
Hombres;ANDALUCÍA;65-69;203.468
Hombres;ANDALUCÍA;70-74;166.585
Hombres;ANDALUCÍA;75-79;127.861
Hombres;ANDALUCÍA;80-84;82.818
Hombres;ANDALUCÍA;85-89;51.260
Hombres;ANDALUCÍA;90-94;17.532
Hombres;ANDALUCÍA;95-99;3.315
Hombres;ANDALUCÍA;100 y más;725
Hombres;Almería;Total;372.510
Hombres;Almería;0-4;19.050
Hombres;Almería;5-9;21.133
Hombres;Almería;10-14;22.107
Hombres;Almería;15-19;20.355
Hombres;Almería;20-24;21.794
Hombres;Almería;25-29;23.879
Hombres;Almería;30-34;26.577
Hombres;Almería;35-39;29.437
Hombres;Almería;40-44;33.838
Hombres;Almería;45-49;30.777
Hombres;Almería;50-54;27.778
Hombres;Almería;55-59;24.472
Hombres;Almería;60-64;20.996
Hombres;Almería;65-69;16.628
Hombres;Almería;70-74;13.185
Hombres;Almería;75-79;9.129
Hombres;Almería;80-84;5.949
Hombres;Almería;85-89;3.740
Hombres;Almería;90-94;1.324
Hombres;Almería;95-99;300
Hombres;Almería;100 y más;62
Hombres;Cádiz;Total;613.975
Hombres;Cádiz;0-4;26.318
Hombres;Cádiz;5-9;32.386
Hombres;Cádiz;10-14;38.093
Hombres;Cádiz;15-19;36.817
Hombres;Cádiz;20-24;33.508
Hombres;Cádiz;25-29;34.073
Hombres;Cádiz;30-34;37.262
Hombres;Cádiz;35-39;43.241
Hombres;Cádiz;40-44;51.536
Hombres;Cádiz;45-49;51.939
Hombres;Cádiz;50-54;49.921
Hombres;Cádiz;55-59;45.104
Hombres;Cádiz;60-64;39.267
Hombres;Cádiz;65-69;30.908
Hombres;Cádiz;70-74;24.789
Hombres;Cádiz;75-79;18.493
Hombres;Cádiz;80-84;11.308
Hombres;Cádiz;85-89;6.600
Hombres;Cádiz;90-94;1.994
Hombres;Cádiz;95-99;365
Hombres;Cádiz;100 y más;53
Hombres;Córdoba;Total;380.218
Hombres;Córdoba;0-4;15.760
Hombres;Córdoba;5-9;18.920
Hombres;Córdoba;10-14;21.612
Hombres;Córdoba;15-19;21.294
Hombres;Córdoba;20-24;21.535
Hombres;Córdoba;25-29;22.553
Hombres;Córdoba;30-34;23.560
Hombres;Córdoba;35-39;25.407
Hombres;Córdoba;40-44;29.153
Hombres;Córdoba;45-49;29.129
Hombres;Córdoba;50-54;30.195
Hombres;Córdoba;55-59;29.545
Hombres;Córdoba;60-64;25.579
Hombres;Córdoba;65-69;19.713
Hombres;Córdoba;70-74;15.442
Hombres;Córdoba;75-79;12.705
Hombres;Córdoba;80-84;8.887
Hombres;Córdoba;85-89;6.277
Hombres;Córdoba;90-94;2.438
Hombres;Córdoba;95-99;446
Hombres;Córdoba;100 y más;68
Hombres;Granada;Total;453.484
Hombres;Granada;0-4;19.102
Hombres;Granada;5-9;22.989
Hombres;Granada;10-14;26.292
Hombres;Granada;15-19;25.861
Hombres;Granada;20-24;25.873
Hombres;Granada;25-29;27.551
Hombres;Granada;30-34;28.888
Hombres;Granada;35-39;31.756
Hombres;Granada;40-44;37.093
Hombres;Granada;45-49;36.041
Hombres;Granada;50-54;35.612
Hombres;Granada;55-59;33.823
Hombres;Granada;60-64;29.131
Hombres;Granada;65-69;22.269
Hombres;Granada;70-74;18.104
Hombres;Granada;75-79;14.081
Hombres;Granada;80-84;9.670
Hombres;Granada;85-89;6.602
Hombres;Granada;90-94;2.230
Hombres;Granada;95-99;431
Hombres;Granada;100 y más;85
Hombres;Huelva;Total;260.007
Hombres;Huelva;0-4;11.124
Hombres;Huelva;5-9;13.468
Hombres;Huelva;10-14;15.699
Hombres;Huelva;15-19;14.529
Hombres;Huelva;20-24;14.230
Hombres;Huelva;25-29;15.508
Hombres;Huelva;30-34;16.556
Hombres;Huelva;35-39;19.125
Hombres;Huelva;40-44;23.026
Hombres;Huelva;45-49;22.137
Hombres;Huelva;50-54;20.768
Hombres;Huelva;55-59;18.151
Hombres;Huelva;60-64;15.672
Hombres;Huelva;65-69;12.342
Hombres;Huelva;70-74;10.497
Hombres;Huelva;75-79;7.842
Hombres;Huelva;80-84;4.999
Hombres;Huelva;85-89;3.137
Hombres;Huelva;90-94;954
Hombres;Huelva;95-99;191
Hombres;Huelva;100 y más;52
Hombres;Jaén;Total;310.096
Hombres;Jaén;0-4;12.356
Hombres;Jaén;5-9;14.430
Hombres;Jaén;10-14;16.900
Hombres;Jaén;15-19;17.233
Hombres;Jaén;20-24;18.264
Hombres;Jaén;25-29;19.785
Hombres;Jaén;30-34;19.541
Hombres;Jaén;35-39;20.328
Hombres;Jaén;40-44;23.054
Hombres;Jaén;45-49;23.780
Hombres;Jaén;50-54;24.781
Hombres;Jaén;55-59;25.039
Hombres;Jaén;60-64;21.507
Hombres;Jaén;65-69;15.722
Hombres;Jaén;70-74;12.173
Hombres;Jaén;75-79;9.484
Hombres;Jaén;80-84;7.623
Hombres;Jaén;85-89;5.539
Hombres;Jaén;90-94;2.170
Hombres;Jaén;95-99;351
Hombres;Jaén;100 y más;36
Hombres;Málaga;Total;829.286
Hombres;Málaga;0-4;35.885
Hombres;Málaga;5-9;44.729
Hombres;Málaga;10-14;49.908
Hombres;Málaga;15-19;46.706
Hombres;Málaga;20-24;43.727
Hombres;Málaga;25-29;45.079
Hombres;Málaga;30-34;50.248
Hombres;Málaga;35-39;60.529
Hombres;Málaga;40-44;71.380
Hombres;Málaga;45-49;70.874
Hombres;Málaga;50-54;65.601
Hombres;Málaga;55-59;59.426
Hombres;Málaga;60-64;50.162
Hombres;Málaga;65-69;41.663
Hombres;Málaga;70-74;36.265
Hombres;Málaga;75-79;27.124
Hombres;Málaga;80-84;16.830
Hombres;Málaga;85-89;9.149
Hombres;Málaga;90-94;3.136
Hombres;Málaga;95-99;622
Hombres;Málaga;100 y más;243
Hombres;Sevilla;Total;950.371
Hombres;Sevilla;0-4;43.592
Hombres;Sevilla;5-9;53.394
Hombres;Sevilla;10-14;61.779
Hombres;Sevilla;15-19;56.171
Hombres;Sevilla;20-24;52.267
Hombres;Sevilla;25-29;55.071
Hombres;Sevilla;30-34;56.805
Hombres;Sevilla;35-39;67.679
Hombres;Sevilla;40-44;82.470
Hombres;Sevilla;45-49;81.468
Hombres;Sevilla;50-54;75.743
Hombres;Sevilla;55-59;67.476
Hombres;Sevilla;60-64;55.311
Hombres;Sevilla;65-69;44.223
Hombres;Sevilla;70-74;36.130
Hombres;Sevilla;75-79;29.003
Hombres;Sevilla;80-84;17.552
Hombres;Sevilla;85-89;10.216
Hombres;Sevilla;90-94;3.286
Hombres;Sevilla;95-99;609
Hombres;Sevilla;100 y más;126
Hombres;ARAGÓN;Total;654.802
Hombres;ARAGÓN;0-4;26.411
Hombres;ARAGÓN;5-9;31.826
Hombres;ARAGÓN;10-14;34.698
Hombres;ARAGÓN;15-19;33.224
Hombres;ARAGÓN;20-24;33.212
Hombres;ARAGÓN;25-29;33.952
Hombres;ARAGÓN;30-34;37.358
Hombres;ARAGÓN;35-39;43.491
Hombres;ARAGÓN;40-44;54.221
Hombres;ARAGÓN;45-49;55.485
Hombres;ARAGÓN;50-54;51.965
Hombres;ARAGÓN;55-59;49.166
Hombres;ARAGÓN;60-64;43.425
Hombres;ARAGÓN;65-69;34.989
Hombres;ARAGÓN;70-74;30.529
Hombres;ARAGÓN;75-79;24.270
Hombres;ARAGÓN;80-84;16.621
Hombres;ARAGÓN;85-89;13.360
Hombres;ARAGÓN;90-94;5.338
Hombres;ARAGÓN;95-99;1.142
Hombres;ARAGÓN;100 y más;119
Hombres;Huesca;Total;113.436
Hombres;Huesca;0-4;4.426
Hombres;Huesca;5-9;5.174
Hombres;Huesca;10-14;5.659
Hombres;Huesca;15-19;5.387
Hombres;Huesca;20-24;5.739
Hombres;Huesca;25-29;5.950
Hombres;Huesca;30-34;6.439
Hombres;Huesca;35-39;7.579
Hombres;Huesca;40-44;9.506
Hombres;Huesca;45-49;9.339
Hombres;Huesca;50-54;8.879
Hombres;Huesca;55-59;8.788
Hombres;Huesca;60-64;7.750
Hombres;Huesca;65-69;6.246
Hombres;Huesca;70-74;5.454
Hombres;Huesca;75-79;4.105
Hombres;Huesca;80-84;2.992
Hombres;Huesca;85-89;2.620
Hombres;Huesca;90-94;1.134
Hombres;Huesca;95-99;244
Hombres;Huesca;100 y más;26
Hombres;Teruel;Total;68.265
Hombres;Teruel;0-4;2.539
Hombres;Teruel;5-9;3.053
Hombres;Teruel;10-14;3.195
Hombres;Teruel;15-19;3.170
Hombres;Teruel;20-24;3.398
Hombres;Teruel;25-29;3.468
Hombres;Teruel;30-34;3.908
Hombres;Teruel;35-39;4.378
Hombres;Teruel;40-44;5.165
Hombres;Teruel;45-49;5.232
Hombres;Teruel;50-54;5.201
Hombres;Teruel;55-59;5.535
Hombres;Teruel;60-64;5.198
Hombres;Teruel;65-69;3.939
Hombres;Teruel;70-74;3.262
Hombres;Teruel;75-79;2.580
Hombres;Teruel;80-84;2.018
Hombres;Teruel;85-89;1.920
Hombres;Teruel;90-94;903
Hombres;Teruel;95-99;179
Hombres;Teruel;100 y más;24
Hombres;Zaragoza;Total;473.101
Hombres;Zaragoza;0-4;19.446
Hombres;Zaragoza;5-9;23.599
Hombres;Zaragoza;10-14;25.844
Hombres;Zaragoza;15-19;24.667
Hombres;Zaragoza;20-24;24.075
Hombres;Zaragoza;25-29;24.534
Hombres;Zaragoza;30-34;27.011
Hombres;Zaragoza;35-39;31.534
Hombres;Zaragoza;40-44;39.550
Hombres;Zaragoza;45-49;40.914
Hombres;Zaragoza;50-54;37.885
Hombres;Zaragoza;55-59;34.843
Hombres;Zaragoza;60-64;30.477
Hombres;Zaragoza;65-69;24.804
Hombres;Zaragoza;70-74;21.813
Hombres;Zaragoza;75-79;17.585
Hombres;Zaragoza;80-84;11.611
Hombres;Zaragoza;85-89;8.820
Hombres;Zaragoza;90-94;3.301
Hombres;Zaragoza;95-99;719
Hombres;Zaragoza;100 y más;69
Hombres;ASTURIAS, PRINCIPADO DE;Total;482.554
Hombres;ASTURIAS, PRINCIPADO DE;0-4;14.682
Hombres;ASTURIAS, PRINCIPADO DE;5-9;18.963
Hombres;ASTURIAS, PRINCIPADO DE;10-14;21.295
Hombres;ASTURIAS, PRINCIPADO DE;15-19;20.494
Hombres;ASTURIAS, PRINCIPADO DE;20-24;19.881
Hombres;ASTURIAS, PRINCIPADO DE;25-29;20.200
Hombres;ASTURIAS, PRINCIPADO DE;30-34;23.479
Hombres;ASTURIAS, PRINCIPADO DE;35-39;30.619
Hombres;ASTURIAS, PRINCIPADO DE;40-44;40.447
Hombres;ASTURIAS, PRINCIPADO DE;45-49;42.181
Hombres;ASTURIAS, PRINCIPADO DE;50-54;39.782
Hombres;ASTURIAS, PRINCIPADO DE;55-59;39.333
Hombres;ASTURIAS, PRINCIPADO DE;60-64;38.584
Hombres;ASTURIAS, PRINCIPADO DE;65-69;33.140
Hombres;ASTURIAS, PRINCIPADO DE;70-74;28.747
Hombres;ASTURIAS, PRINCIPADO DE;75-79;20.856
Hombres;ASTURIAS, PRINCIPADO DE;80-84;13.685
Hombres;ASTURIAS, PRINCIPADO DE;85-89;10.980
Hombres;ASTURIAS, PRINCIPADO DE;90-94;4.223
Hombres;ASTURIAS, PRINCIPADO DE;95-99;855
Hombres;ASTURIAS, PRINCIPADO DE;100 y más;128
Hombres;BALEARS, ILLES;Total;584.574
Hombres;BALEARS, ILLES;0-4;25.932
Hombres;BALEARS, ILLES;5-9;29.691
Hombres;BALEARS, ILLES;10-14;32.181
Hombres;BALEARS, ILLES;15-19;30.420
Hombres;BALEARS, ILLES;20-24;31.679
Hombres;BALEARS, ILLES;25-29;36.829
Hombres;BALEARS, ILLES;30-34;41.929
Hombres;BALEARS, ILLES;35-39;47.409
Hombres;BALEARS, ILLES;40-44;54.119
Hombres;BALEARS, ILLES;45-49;53.112
Hombres;BALEARS, ILLES;50-54;46.046
Hombres;BALEARS, ILLES;55-59;39.398
Hombres;BALEARS, ILLES;60-64;32.455
Hombres;BALEARS, ILLES;65-69;26.328
Hombres;BALEARS, ILLES;70-74;21.989
Hombres;BALEARS, ILLES;75-79;16.045
Hombres;BALEARS, ILLES;80-84;10.051
Hombres;BALEARS, ILLES;85-89;6.176
Hombres;BALEARS, ILLES;90-94;2.215
Hombres;BALEARS, ILLES;95-99;495
Hombres;BALEARS, ILLES;100 y más;75
Hombres;CANARIAS;Total;1.073.439
Hombres;CANARIAS;0-4;37.833
Hombres;CANARIAS;5-9;46.747
Hombres;CANARIAS;10-14;55.210
Hombres;CANARIAS;15-19;57.889
Hombres;CANARIAS;20-24;59.157
Hombres;CANARIAS;25-29;65.279
Hombres;CANARIAS;30-34;71.101
Hombres;CANARIAS;35-39;79.014
Hombres;CANARIAS;40-44;93.519
Hombres;CANARIAS;45-49;100.907
Hombres;CANARIAS;50-54;94.597
Hombres;CANARIAS;55-59;84.674
Hombres;CANARIAS;60-64;65.915
Hombres;CANARIAS;65-69;52.888
Hombres;CANARIAS;70-74;42.009
Hombres;CANARIAS;75-79;31.520
Hombres;CANARIAS;80-84;18.698
Hombres;CANARIAS;85-89;11.712
Hombres;CANARIAS;90-94;3.768
Hombres;CANARIAS;95-99;770
Hombres;CANARIAS;100 y más;232
Hombres;Palmas, Las;Total;560.799
Hombres;Palmas, Las;0-4;19.618
Hombres;Palmas, Las;5-9;24.415
Hombres;Palmas, Las;10-14;29.028
Hombres;Palmas, Las;15-19;31.021
Hombres;Palmas, Las;20-24;31.463
Hombres;Palmas, Las;25-29;34.342
Hombres;Palmas, Las;30-34;37.502
Hombres;Palmas, Las;35-39;41.207
Hombres;Palmas, Las;40-44;48.608
Hombres;Palmas, Las;45-49;53.362
Hombres;Palmas, Las;50-54;50.542
Hombres;Palmas, Las;55-59;44.996
Hombres;Palmas, Las;60-64;34.088
Hombres;Palmas, Las;65-69;27.278
Hombres;Palmas, Las;70-74;21.099
Hombres;Palmas, Las;75-79;15.433
Hombres;Palmas, Las;80-84;8.999
Hombres;Palmas, Las;85-89;5.574
Hombres;Palmas, Las;90-94;1.789
Hombres;Palmas, Las;95-99;357
Hombres;Palmas, Las;100 y más;78
Hombres;Santa Cruz de Tenerife;Total;512.640
Hombres;Santa Cruz de Tenerife;0-4;18.215
Hombres;Santa Cruz de Tenerife;5-9;22.332
Hombres;Santa Cruz de Tenerife;10-14;26.182
Hombres;Santa Cruz de Tenerife;15-19;26.868
Hombres;Santa Cruz de Tenerife;20-24;27.694
Hombres;Santa Cruz de Tenerife;25-29;30.937
Hombres;Santa Cruz de Tenerife;30-34;33.599
Hombres;Santa Cruz de Tenerife;35-39;37.807
Hombres;Santa Cruz de Tenerife;40-44;44.911
Hombres;Santa Cruz de Tenerife;45-49;47.545
Hombres;Santa Cruz de Tenerife;50-54;44.055
Hombres;Santa Cruz de Tenerife;55-59;39.678
Hombres;Santa Cruz de Tenerife;60-64;31.827
Hombres;Santa Cruz de Tenerife;65-69;25.610
Hombres;Santa Cruz de Tenerife;70-74;20.910
Hombres;Santa Cruz de Tenerife;75-79;16.087
Hombres;Santa Cruz de Tenerife;80-84;9.699
Hombres;Santa Cruz de Tenerife;85-89;6.138
Hombres;Santa Cruz de Tenerife;90-94;1.979
Hombres;Santa Cruz de Tenerife;95-99;413
Hombres;Santa Cruz de Tenerife;100 y más;154
Hombres;CANTABRIA;Total;283.284
Hombres;CANTABRIA;0-4;10.123
Hombres;CANTABRIA;5-9;12.995
Hombres;CANTABRIA;10-14;14.880
Hombres;CANTABRIA;15-19;14.022
Hombres;CANTABRIA;20-24;12.991
Hombres;CANTABRIA;25-29;13.157
Hombres;CANTABRIA;30-34;14.693
Hombres;CANTABRIA;35-39;19.074
Hombres;CANTABRIA;40-44;24.519
Hombres;CANTABRIA;45-49;24.379
Hombres;CANTABRIA;50-54;23.253
