Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Málaga;Total;1.694.089
Ambos sexos;Málaga;0-4;69.893
Ambos sexos;Málaga;5-9;87.158
Ambos sexos;Málaga;10-14;96.938
Ambos sexos;Málaga;15-19;91.129
Ambos sexos;Málaga;20-24;85.317
Ambos sexos;Málaga;25-29;90.436
Ambos sexos;Málaga;30-34;102.548
Ambos sexos;Málaga;35-39;123.876
Ambos sexos;Málaga;40-44;143.067
Ambos sexos;Málaga;45-49;142.041
Ambos sexos;Málaga;50-54;132.911
Ambos sexos;Málaga;55-59;122.194
Ambos sexos;Málaga;60-64;104.813
Ambos sexos;Málaga;65-69;87.500
Ambos sexos;Málaga;70-74;76.814
Ambos sexos;Málaga;75-79;59.435
Ambos sexos;Málaga;80-84;40.407
Ambos sexos;Málaga;85-89;24.736
Ambos sexos;Málaga;90-94;9.832
Ambos sexos;Málaga;95-99;2.293
Ambos sexos;Málaga;100 y más;751
Ambos sexos;Sevilla;Total;1.946.452
Ambos sexos;Sevilla;0-4;84.676
Ambos sexos;Sevilla;5-9;103.736
Ambos sexos;Sevilla;10-14;119.855
Ambos sexos;Sevilla;15-19;109.891
Ambos sexos;Sevilla;20-24;102.270
Ambos sexos;Sevilla;25-29;108.204
Ambos sexos;Sevilla;30-34;114.009
Ambos sexos;Sevilla;35-39;136.271
Ambos sexos;Sevilla;40-44;165.254
Ambos sexos;Sevilla;45-49;163.561
Ambos sexos;Sevilla;50-54;153.211
Ambos sexos;Sevilla;55-59;138.640
Ambos sexos;Sevilla;60-64;115.259
Ambos sexos;Sevilla;65-69;94.122
Ambos sexos;Sevilla;70-74;79.900
Ambos sexos;Sevilla;75-79;66.964
Ambos sexos;Sevilla;80-84;45.306
Ambos sexos;Sevilla;85-89;30.224
Ambos sexos;Sevilla;90-94;11.874
Ambos sexos;Sevilla;95-99;2.592
Ambos sexos;Sevilla;100 y más;633
Ambos sexos;ARAGÓN;Total;1.325.371
Ambos sexos;ARAGÓN;0-4;51.473
Ambos sexos;ARAGÓN;5-9;62.094
Ambos sexos;ARAGÓN;10-14;67.221
Ambos sexos;ARAGÓN;15-19;64.292
Ambos sexos;ARAGÓN;20-24;63.963
Ambos sexos;ARAGÓN;25-29;66.533
Ambos sexos;ARAGÓN;30-34;73.246
Ambos sexos;ARAGÓN;35-39;85.244
Ambos sexos;ARAGÓN;40-44;105.811
Ambos sexos;ARAGÓN;45-49;108.107
Ambos sexos;ARAGÓN;50-54;102.536
Ambos sexos;ARAGÓN;55-59;97.462
Ambos sexos;ARAGÓN;60-64;87.808
Ambos sexos;ARAGÓN;65-69;72.587
Ambos sexos;ARAGÓN;70-74;65.284
Ambos sexos;ARAGÓN;75-79;54.082
Ambos sexos;ARAGÓN;80-84;40.283
Ambos sexos;ARAGÓN;85-89;35.346
Ambos sexos;ARAGÓN;90-94;16.875
Ambos sexos;ARAGÓN;95-99;4.486
Ambos sexos;ARAGÓN;100 y más;638
Ambos sexos;Huesca;Total;223.916
Ambos sexos;Huesca;0-4;8.561
Ambos sexos;Huesca;5-9;10.226
Ambos sexos;Huesca;10-14;10.973
Ambos sexos;Huesca;15-19;10.425
Ambos sexos;Huesca;20-24;10.897
Ambos sexos;Huesca;25-29;11.137
Ambos sexos;Huesca;30-34;12.311
Ambos sexos;Huesca;35-39;14.340
Ambos sexos;Huesca;40-44;17.841
Ambos sexos;Huesca;45-49;17.720
Ambos sexos;Huesca;50-54;17.117
Ambos sexos;Huesca;55-59;16.891
Ambos sexos;Huesca;60-64;15.195
